"","V1"
"output143.txt",5
"output1430.txt",7
"output1431.txt",6
"output1432.txt",3
"output1433.txt",9
"output1434.txt",4
"output1435.txt",5
"output1436.txt",5
"output1437.txt",6
"output1438.txt",3
"output1439.txt",9
"output144.txt",5
"output1440.txt",1
"output1441.txt",1
"output1442.txt",7
"output1443.txt",2
"output1444.txt",2
"output1445.txt",2
"output1446.txt",2
"output1447.txt",9
"output1448.txt",2
"output1449.txt",6
"output145.txt",8
"output1450.txt",7
"output1451.txt",6
"output1452.txt",2
"output1453.txt",3
"output1454.txt",7
"output1455.txt",8
"output1456.txt",6
"output1457.txt",9
"output1458.txt",3
"output1459.txt",6
"output146.txt",1
"output1460.txt",3
"output1461.txt",8
"output1462.txt",8
"output1463.txt",5
"output1464.txt",1
"output1465.txt",9
"output1466.txt",6
"output1467.txt",7
"output1468.txt",9
"output1469.txt",8
"output147.txt",4
"output1470.txt",9
"output1471.txt",6
"output1472.txt",4
"output1473.txt",6
"output1474.txt",9
"output1475.txt",6
"output1476.txt",5
"output1477.txt",5
"output1478.txt",9
"output1479.txt",2
"output148.txt",8
"output1480.txt",9
"output1481.txt",4
"output1482.txt",1
"output1483.txt",6
"output1484.txt",8
"output1485.txt",2
"output1486.txt",9
"output1487.txt",4
"output1488.txt",9
"output1489.txt",9
"output149.txt",1
"output1490.txt",6
"output1491.txt",6
"output1492.txt",9
"output1493.txt",9
"output1494.txt",4
"output1495.txt",3
"output1496.txt",2
"output1497.txt",8
"output1498.txt",2
"output1499.txt",5
"output15.txt",1
"output150.txt",9
"output1500.txt",9
"output1501.txt",5
"output1502.txt",6
"output1503.txt",2
"output1504.txt",4
"output1505.txt",8
"output1506.txt",7
"output1507.txt",7
"output1508.txt",2
"output1509.txt",3
"output151.txt",6
"output1510.txt",3
"output1511.txt",7
"output1512.txt",5
"output1513.txt",7
"output1514.txt",9
"output1515.txt",9
"output1516.txt",5
"output1517.txt",9
"output1518.txt",8
"output1519.txt",9
"output152.txt",8
"output1520.txt",7
"output1521.txt",2
"output1522.txt",7
"output1523.txt",3
"output1524.txt",1
"output1525.txt",7
"output1526.txt",9
"output1527.txt",3
"output1528.txt",6
"output1529.txt",2
"output153.txt",5
"output1530.txt",3
"output1531.txt",2
"output1532.txt",7
"output1533.txt",4
"output1534.txt",9
"output1535.txt",1
"output1536.txt",1
"output1537.txt",8
"output1538.txt",1
"output1539.txt",7
"output154.txt",4
"output1540.txt",8
"output1541.txt",9
"output1542.txt",6
"output1543.txt",4
"output1544.txt",1
"output1545.txt",2
"output1546.txt",2
"output1547.txt",7
"output1548.txt",5
"output1549.txt",5
"output155.txt",3
"output1550.txt",7
"output1551.txt",7
"output1552.txt",9
"output1553.txt",6
"output1554.txt",6
"output1555.txt",9
"output1556.txt",5
"output1557.txt",8
"output1558.txt",5
"output1559.txt",6
"output156.txt",4
"output1560.txt",4
"output1561.txt",7
"output1562.txt",9
"output1563.txt",5
"output1564.txt",3
"output1565.txt",9
"output1566.txt",6
"output1567.txt",6
"output1568.txt",7
"output1569.txt",7
"output157.txt",2
"output1570.txt",9
"output1571.txt",2
"output1572.txt",5
"output1573.txt",5
"output1574.txt",5
"output1575.txt",9
"output1576.txt",6
"output1577.txt",5
"output1578.txt",4
"output1579.txt",7
"output158.txt",4
"output1580.txt",3
"output1581.txt",2
"output1582.txt",3
"output1583.txt",9
"output1584.txt",9
"output1585.txt",7
"output1586.txt",3
"output1587.txt",2
"output1588.txt",6
"output1589.txt",9
"output159.txt",1
"output1590.txt",5
"output1591.txt",4
"output1592.txt",6
"output1593.txt",5
"output1594.txt",4
"output1595.txt",1
"output1596.txt",7
"output1597.txt",3
"output1598.txt",8
"output1599.txt",3
"output16.txt",6
"output160.txt",7
"output1600.txt",2
"output1601.txt",8
"output1602.txt",2
"output1603.txt",3
"output1604.txt",2
"output1605.txt",1
"output1606.txt",6
"output1607.txt",6
"output1608.txt",9
"output1609.txt",8
"output161.txt",1
"output1610.txt",1
"output1611.txt",9
"output1612.txt",6
"output1613.txt",3
"output1614.txt",7
"output1615.txt",5
"output1616.txt",9
"output1617.txt",1
"output1618.txt",2
"output1619.txt",6
"output162.txt",8
"output1620.txt",6
"output1621.txt",1
"output1622.txt",6
"output1623.txt",7
"output1624.txt",7
"output1625.txt",6
"output1626.txt",5
"output1627.txt",1
"output1628.txt",5
"output1629.txt",7
"output163.txt",7
"output1630.txt",6
"output1631.txt",3
"output1632.txt",7
"output1633.txt",2
"output1634.txt",3
"output1635.txt",7
"output1636.txt",5
"output1637.txt",9
"output1638.txt",3
"output1639.txt",9
"output164.txt",7
"output1640.txt",5
"output1641.txt",2
"output1642.txt",9
"output1643.txt",5
"output1644.txt",4
"output1645.txt",6
"output1646.txt",5
"output1647.txt",4
"output1648.txt",9
"output1649.txt",6
"output165.txt",5
"output1650.txt",6
"output1651.txt",5
"output1652.txt",5
"output1653.txt",9
"output1654.txt",3
"output1655.txt",5
"output1656.txt",6
"output1657.txt",4
"output1658.txt",2
"output1659.txt",5
"output166.txt",6
"output1660.txt",8
"output1661.txt",6
"output1662.txt",7
"output1663.txt",4
"output1664.txt",1
"output1665.txt",5
"output1666.txt",7
"output1667.txt",6
"output1668.txt",2
"output1669.txt",7
"output167.txt",8
"output1670.txt",9
"output1671.txt",9
"output1672.txt",7
"output1673.txt",5
"output1674.txt",2
"output1675.txt",6
"output1676.txt",8
"output1677.txt",2
"output1678.txt",5
"output1679.txt",5
"output168.txt",1
"output1680.txt",2
"output1681.txt",7
"output1682.txt",5
"output1683.txt",4
"output1684.txt",5
"output1685.txt",7
"output1686.txt",8
"output1687.txt",5
"output1688.txt",2
"output1689.txt",1
"output169.txt",2
"output1690.txt",9
"output1691.txt",8
"output1692.txt",2
"output1693.txt",6
"output1694.txt",2
"output1695.txt",5
"output1696.txt",2
"output1697.txt",4
"output1698.txt",9
"output1699.txt",8
"output17.txt",6
"output170.txt",1
"output1700.txt",3
"output1701.txt",5
"output1702.txt",2
"output1703.txt",6
"output1704.txt",9
"output1705.txt",8
"output1706.txt",2
"output1707.txt",8
"output1708.txt",2
"output1709.txt",5
"output171.txt",8
"output1710.txt",9
"output1711.txt",2
"output1712.txt",7
"output1713.txt",7
"output1714.txt",9
"output1715.txt",2
"output1716.txt",3
"output1717.txt",4
"output1718.txt",7
"output1719.txt",4
"output172.txt",2
"output1720.txt",4
"output1721.txt",2
"output1722.txt",3
"output1723.txt",6
"output1724.txt",1
"output1725.txt",5
"output1726.txt",8
"output1727.txt",7
"output1728.txt",6
"output1729.txt",1
"output173.txt",1
"output1730.txt",1
"output1731.txt",5
"output1732.txt",9
"output1733.txt",5
"output1734.txt",4
"output1735.txt",5
"output1736.txt",6
"output1737.txt",3
"output1738.txt",6
"output1739.txt",8
"output174.txt",8
"output1740.txt",2
"output1741.txt",7
"output1742.txt",2
"output1743.txt",2
"output1744.txt",2
"output1745.txt",6
"output1746.txt",9
"output1747.txt",6
"output1748.txt",7
"output1749.txt",6
"output175.txt",5
"output1750.txt",5
"output1751.txt",5
"output1752.txt",5
"output1753.txt",5
"output1754.txt",4
"output1755.txt",1
"output1756.txt",4
"output1757.txt",9
"output1758.txt",2
"output1759.txt",9
"output176.txt",1
"output1760.txt",8
"output1761.txt",4
"output1762.txt",6
"output1763.txt",5
"output1764.txt",8
"output1765.txt",5
"output1766.txt",3
"output1767.txt",1
"output1768.txt",7
"output1769.txt",5
"output177.txt",6
"output1770.txt",6
"output1771.txt",5
"output1772.txt",4
"output1773.txt",2
"output1774.txt",3
"output1775.txt",5
"output1776.txt",6
"output1777.txt",3
"output1778.txt",8
"output1779.txt",9
"output178.txt",8
"output1780.txt",6
"output1781.txt",1
"output1782.txt",9
"output1783.txt",9
"output1784.txt",2
"output1785.txt",2
"output1786.txt",8
"output1787.txt",5
"output1788.txt",6
"output1789.txt",5
"output179.txt",2
"output1790.txt",1
"output1791.txt",4
"output1792.txt",6
"output1793.txt",4
"output1794.txt",6
"output1795.txt",1
"output1796.txt",1
"output1797.txt",1
"output1798.txt",2
"output1799.txt",6
"output18.txt",2
"output180.txt",1
"output1800.txt",6
"output1801.txt",4
"output1802.txt",7
"output1803.txt",7
"output1804.txt",6
"output1805.txt",4
"output1806.txt",7
"output1807.txt",4
"output1808.txt",4
"output1809.txt",6
"output181.txt",8
"output1810.txt",5
"output1811.txt",4
"output1812.txt",9
"output1813.txt",5
"output1814.txt",6
"output1815.txt",4
"output1816.txt",8
"output1817.txt",1
"output1818.txt",7
"output1819.txt",8
"output182.txt",8
"output1820.txt",7
"output1821.txt",1
"output1822.txt",8
"output1823.txt",2
"output1824.txt",4
"output1825.txt",8
"output1826.txt",1
"output1827.txt",9
"output1828.txt",4
"output1829.txt",9
"output183.txt",8
"output1830.txt",9
"output1831.txt",8
"output1832.txt",5
"output1833.txt",7
"output1834.txt",4
"output1835.txt",2
"output1836.txt",7
"output1837.txt",4
"output1838.txt",7
"output1839.txt",2
"output184.txt",9
"output1840.txt",7
"output1841.txt",6
"output1842.txt",3
"output1843.txt",5
"output1844.txt",4
"output1845.txt",7
"output1846.txt",5
"output1847.txt",1
"output1848.txt",2
"output1849.txt",9
"output185.txt",5
"output1850.txt",9
"output1851.txt",7
"output1852.txt",2
"output1853.txt",4
"output1854.txt",4
"output1855.txt",8
"output1856.txt",1
"output1857.txt",5
"output1858.txt",5
"output1859.txt",2
"output186.txt",8
"output1860.txt",9
"output1861.txt",2
"output1862.txt",9
"output1863.txt",5
"output1864.txt",4
"output1865.txt",5
"output1866.txt",5
"output1867.txt",7
"output1868.txt",5
"output1869.txt",6
"output187.txt",1
"output1870.txt",4
"output1871.txt",5
"output1872.txt",7
"output1873.txt",2
"output1874.txt",9
"output1875.txt",8
"output1876.txt",8
"output1877.txt",1
"output1878.txt",1
"output1879.txt",5
"output188.txt",8
"output1880.txt",7
"output1881.txt",6
"output1882.txt",9
"output1883.txt",1
"output189.txt",4
"output19.txt",7
"output190.txt",1
"output191.txt",3
"output192.txt",7
"output193.txt",6
"output194.txt",1
"output195.txt",8
"output196.txt",9
"output197.txt",4
"output198.txt",1
"output199.txt",2
"output2.txt",9
"output20.txt",4
"output200.txt",9
"output201.txt",3
"output202.txt",7
"output203.txt",1
"output204.txt",6
"output205.txt",8
"output206.txt",2
"output207.txt",1
"output208.txt",5
"output209.txt",1
"output21.txt",4
"output210.txt",1
"output211.txt",1
"output212.txt",1
"output213.txt",3
"output214.txt",8
"output215.txt",8
"output216.txt",1
"output217.txt",7
"output218.txt",7
"output219.txt",7
"output22.txt",1
"output220.txt",4
"output221.txt",8
"output222.txt",8
"output223.txt",8
"output224.txt",8
"output225.txt",5
"output226.txt",5
"output227.txt",8
"output228.txt",1
"output229.txt",6
"output23.txt",8
"output230.txt",7
"output231.txt",1
"output232.txt",1
"output233.txt",2
"output234.txt",1
"output235.txt",1
"output236.txt",7
"output237.txt",7
"output238.txt",1
"output239.txt",1
"output24.txt",3
"output240.txt",7
"output241.txt",1
"output242.txt",9
"output243.txt",1
"output244.txt",8
"output245.txt",7
"output246.txt",5
"output247.txt",5
"output248.txt",1
"output249.txt",1
"output25.txt",4
"output250.txt",7
"output251.txt",7
"output252.txt",7
"output253.txt",1
"output254.txt",7
"output255.txt",1
"output256.txt",8
"output257.txt",1
"output258.txt",3
"output259.txt",2
"output26.txt",4
"output260.txt",1
"output261.txt",1
"output262.txt",1
"output263.txt",1
"output264.txt",1
"output265.txt",7
"output266.txt",1
"output267.txt",1
"output268.txt",1
"output269.txt",8
"output27.txt",8
"output270.txt",8
"output271.txt",6
"output272.txt",1
"output273.txt",1
"output274.txt",8
"output275.txt",8
"output276.txt",2
"output277.txt",8
"output278.txt",6
"output279.txt",6
"output28.txt",8
"output280.txt",4
"output281.txt",8
"output282.txt",3
"output283.txt",7
"output284.txt",2
"output285.txt",8
"output286.txt",1
"output287.txt",1
"output288.txt",3
"output289.txt",3
"output29.txt",8
"output290.txt",1
"output291.txt",2
"output292.txt",1
"output293.txt",7
"output294.txt",1
"output295.txt",2
"output296.txt",1
"output297.txt",7
"output298.txt",1
"output299.txt",8
"output3.txt",5
"output30.txt",6
"output300.txt",1
"output301.txt",7
"output302.txt",4
"output303.txt",5
"output304.txt",7
"output305.txt",1
"output306.txt",1
"output307.txt",9
"output308.txt",2
"output309.txt",8
"output31.txt",5
"output310.txt",3
"output311.txt",7
"output312.txt",2
"output313.txt",5
"output314.txt",8
"output315.txt",1
"output316.txt",1
"output317.txt",8
"output318.txt",1
"output319.txt",3
"output32.txt",8
"output320.txt",1
"output321.txt",5
"output322.txt",1
"output323.txt",6
"output324.txt",8
"output325.txt",9
"output326.txt",1
"output327.txt",1
"output328.txt",1
"output329.txt",7
"output33.txt",3
"output330.txt",1
"output331.txt",6
"output332.txt",1
"output333.txt",9
"output334.txt",8
"output335.txt",8
"output336.txt",2
"output337.txt",1
"output338.txt",8
"output339.txt",1
"output34.txt",7
"output340.txt",4
"output341.txt",1
"output342.txt",1
"output343.txt",8
"output344.txt",6
"output345.txt",1
"output346.txt",5
"output347.txt",4
"output348.txt",1
"output349.txt",1
"output35.txt",3
"output350.txt",1
"output351.txt",8
"output352.txt",1
"output353.txt",8
"output354.txt",3
"output355.txt",2
"output356.txt",9
"output357.txt",8
"output358.txt",4
"output359.txt",1
"output36.txt",2
"output360.txt",1
"output361.txt",3
"output362.txt",7
"output363.txt",7
"output364.txt",1
"output365.txt",8
"output366.txt",1
"output367.txt",5
"output368.txt",2
"output369.txt",1
"output37.txt",3
"output370.txt",6
"output371.txt",1
"output372.txt",1
"output373.txt",1
"output374.txt",3
"output375.txt",8
"output376.txt",1
"output377.txt",1
"output378.txt",8
"output379.txt",1
"output38.txt",2
"output380.txt",5
"output381.txt",1
"output382.txt",8
"output383.txt",1
"output384.txt",1
"output385.txt",7
"output386.txt",1
"output387.txt",1
"output388.txt",1
"output389.txt",5
"output39.txt",4
"output390.txt",1
"output391.txt",3
"output392.txt",1
"output393.txt",2
"output394.txt",6
"output395.txt",1
"output396.txt",1
"output397.txt",3
"output398.txt",1
"output399.txt",1
"output4.txt",7
"output40.txt",9
"output400.txt",1
"output401.txt",2
"output402.txt",9
"output403.txt",8
"output404.txt",4
"output405.txt",1
"output406.txt",3
"output407.txt",1
"output408.txt",1
"output409.txt",4
"output41.txt",5
"output410.txt",1
"output411.txt",9
"output412.txt",6
"output413.txt",4
"output414.txt",1
"output415.txt",1
"output416.txt",7
"output417.txt",2
"output418.txt",2
"output419.txt",1
"output42.txt",8
"output420.txt",1
"output421.txt",3
"output422.txt",9
"output423.txt",7
"output424.txt",8
"output425.txt",1
"output426.txt",1
"output427.txt",8
"output428.txt",9
"output429.txt",2
"output43.txt",3
"output430.txt",2
"output431.txt",7
"output432.txt",8
"output433.txt",1
"output434.txt",1
"output435.txt",3
"output436.txt",1
"output437.txt",1
"output438.txt",8
"output439.txt",1
"output44.txt",2
"output440.txt",9
"output441.txt",7
"output442.txt",2
"output443.txt",8
"output444.txt",1
"output445.txt",1
"output446.txt",8
"output447.txt",7
"output448.txt",1
"output449.txt",1
"output45.txt",1
"output450.txt",3
"output451.txt",4
"output452.txt",1
"output453.txt",1
"output454.txt",5
"output455.txt",4
"output456.txt",1
"output457.txt",8
"output458.txt",5
"output459.txt",6
"output46.txt",2
"output460.txt",1
"output461.txt",1
"output462.txt",8
"output463.txt",2
"output464.txt",1
"output465.txt",1
"output466.txt",2
"output467.txt",2
"output468.txt",7
"output469.txt",4
"output47.txt",3
"output470.txt",3
"output471.txt",1
"output472.txt",1
"output473.txt",1
"output474.txt",7
"output475.txt",7
"output476.txt",9
"output477.txt",8
"output478.txt",8
"output479.txt",4
"output48.txt",9
"output480.txt",7
"output481.txt",3
"output482.txt",1
"output483.txt",6
"output484.txt",7
"output485.txt",9
"output486.txt",9
"output487.txt",1
"output488.txt",8
"output489.txt",6
"output49.txt",7
"output490.txt",8
"output491.txt",7
"output492.txt",6
"output493.txt",3
"output494.txt",4
"output495.txt",7
"output496.txt",4
"output497.txt",7
"output498.txt",1
"output499.txt",7
"output5.txt",5
"output50.txt",7
"output500.txt",1
"output501.txt",1
"output502.txt",6
"output503.txt",9
"output504.txt",3
"output505.txt",4
"output506.txt",2
"output507.txt",9
"output508.txt",8
"output509.txt",8
"output51.txt",6
"output510.txt",1
"output511.txt",1
"output512.txt",1
"output513.txt",5
"output514.txt",7
"output515.txt",1
"output516.txt",7
"output517.txt",2
"output518.txt",4
"output519.txt",4
"output52.txt",8
"output520.txt",2
"output521.txt",4
"output522.txt",1
"output523.txt",1
"output524.txt",8
"output525.txt",6
"output526.txt",1
"output527.txt",8
"output528.txt",8
"output529.txt",3
"output53.txt",4
"output530.txt",7
"output531.txt",4
"output532.txt",2
"output533.txt",1
"output534.txt",1
"output535.txt",6
"output536.txt",1
"output537.txt",1
"output538.txt",8
"output539.txt",7
"output54.txt",3
"output540.txt",8
"output541.txt",5
"output542.txt",1
"output543.txt",1
"output544.txt",1
"output545.txt",1
"output546.txt",6
"output547.txt",1
"output548.txt",1
"output549.txt",1
"output55.txt",8
"output550.txt",1
"output551.txt",6
"output552.txt",1
"output553.txt",2
"output554.txt",2
"output555.txt",7
"output556.txt",7
"output557.txt",1
"output558.txt",6
"output559.txt",5
"output56.txt",8
"output560.txt",3
"output561.txt",7
"output562.txt",1
"output563.txt",7
"output564.txt",9
"output565.txt",5
"output566.txt",3
"output567.txt",1
"output568.txt",2
"output569.txt",2
"output57.txt",7
"output570.txt",5
"output571.txt",1
"output572.txt",1
"output573.txt",5
"output574.txt",5
"output575.txt",8
"output576.txt",8
"output577.txt",4
"output578.txt",9
"output579.txt",1
"output58.txt",7
"output580.txt",2
"output581.txt",1
"output582.txt",8
"output583.txt",4
"output584.txt",8
"output585.txt",4
"output586.txt",3
"output587.txt",5
"output588.txt",7
"output589.txt",1
"output59.txt",4
"output590.txt",7
"output591.txt",5
"output592.txt",9
"output593.txt",9
"output594.txt",1
"output595.txt",6
"output596.txt",5
"output597.txt",7
"output598.txt",2
"output599.txt",7
"output6.txt",1
"output60.txt",6
"output600.txt",1
"output601.txt",5
"output602.txt",4
"output603.txt",2
"output604.txt",4
"output605.txt",3
"output606.txt",7
"output607.txt",7
"output608.txt",1
"output609.txt",9
"output61.txt",5
"output610.txt",3
"output611.txt",7
"output612.txt",5
"output613.txt",6
